SampleID,Year,Month,Latitude[degreesNorth],Longitude[degreesEast],SamplingDepth[m],LayerOfOrigin,MarinePelagicBiomes,OceanAndSeaRegion,MarinePelagicProvince
TARA_004_DCM_0.22-1.6,2009,9,36.5533,-6.5669,40,DCM,Westerlies Biome,North Atlantic Ocean,North Atlantic Subtropical Gyral Province
TARA_004_SRF_0.22-1.6,2009,9,36.5533,-6.5669,5,SRF,Westerlies Biome,North Atlantic Ocean,North Atlantic Subtropical Gyral Province
TARA_007_DCM_0.22-1.6,2009,9,37.0541,1.9478,42,DCM,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_007_SRF_0.22-1.6,2009,9,37.051,1.9378,5,SRF,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_009_DCM_0.22-1.6,2009,9,39.0609,5.9422,55,DCM,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_009_SRF_0.22-1.6,2009,9,39.1633,5.916,5,SRF,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_018_DCM_0.22-1.6,2009,11,35.7528,14.2765,60,DCM,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_018_SRF_0.22-1.6,2009,11,35.759,14.2574,5,SRF,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_023_DCM_0.22-1.6,2009,11,42.1735,17.7252,55,DCM,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_023_SRF_0.22-1.6,2009,11,42.2038,17.715,5,SRF,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
TARA_025_DCM_0.22-1.6,2009,11,39.3991,19.3997,50,DCM,Westerlies Biome,Mediterranean Sea,"Mediterranean Sea, Black Sea Province"
